Nom,Symbole,Prix,Variation_24h,Volume_24h,Capitalisation
Bitcoin,BTC,"$121,775.59",0.15%,2.58%,"$2,426,985,395,808"
Ethereum,ETH,"$4,352.36",0.01%,0.85%,"$525,204,518,220"
Tether,USDT,$1.00,0.01%,0.03%,"$178,371,748,872"
BNB,BNB,"$1,277.13",0.95%,23.00%,"$177,756,110,639"
XRP,XRP,$2.80,0.31%,6.09%,"$167,929,271,911"
Solana,SOL,$221.49,0.15%,1.60%,"$120,981,198,327"
USDC,USDC,$0.9998,0.00%,0.01%,"$75,627,460,041"
Dogecoin,DOGE,$0.2445,0.14%,5.17%,"$36,996,695,432"
TRON,TRX,$0.3369,0.01%,1.29%,"$31,902,976,779"
Cardano,ADA,$0.8069,0.16%,5.80%,"$28,912,485,164"
Hyperliquid,HYPE,$44.47,0.35%,9.64%,"$14,972,478,383"
Chainlink,LINK,$21.69,0.00%,3.80%,"$14,708,977,644"
Ethena USDe,USDe,$1.00,0.01%,0.09%,"$14,660,584,931"
Sui,SUI,$3.39,0.29%,4.76%,"$12,326,135,564"
Stellar,XLM,$0.3750,0.03%,6.39%,"$11,994,165,133"
Avalanche,AVAX,$28.11,0.26%,8.08%,"$11,870,765,681"
Bitcoin Cash,BCH,$572.65,0.27%,2.30%,"$11,416,676,298"
Hedera,HBAR,$0.2110,0.05%,7.00%,"$8,947,211,979"
UNUS SED LEO,LEO,$9.65,0.06%,0.65%,"$8,908,527,150"
Litecoin,LTC,$116.02,0.02%,2.81%,"$8,862,763,948"
